Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Medicamentos,Chrome 70.0.3538.77,,2018-10-31 13:50:48,2018-10-31 13:55:55,"5m - 7,697s",FAILED
,,,,,,
Test Cases/Test Buscar Farmacias - Domicilio,Chrome 70.0.3538.77,,2018-10-31 13:50:48,2018-10-31 13:54:05,"3m - 16,836s",PASSED
openBrowser,Chrome 70.0.3538.77,,2018-10-31 13:50:50,2018-10-31 13:50:54,"4,083s",PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-10-31 13:50:54,2018-10-31 13:50:55,"0,640s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-10-31 13:50:55,2018-10-31 13:50:55,"0,173s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-10-31 13:50:55,2018-10-31 13:50:55,"0,271s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 13:50:55,2018-10-31 13:50:56,"0,292s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 13:50:56,2018-10-31 13:50:56,"0,256s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:50:56,2018-10-31 13:50:57,"0,790s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 13:50:57,2018-10-31 13:50:58,"1,100s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:50:58,2018-10-31 13:50:58,"0,749s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 13:50:58,2018-10-31 13:50:59,"0,186s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:50:59,2018-10-31 13:50:59,"0,610s",PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-10-31 13:50:59,2018-10-31 13:51:00,"0,857s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 13:51:00,2018-10-31 13:51:01,"0,882s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-10-31 13:51:01,2018-10-31 13:51:02,"0,740s",PASSED
Statement - verifyIsPortalOpen(),Chrome 70.0.3538.77,,2018-10-31 13:51:02,2018-10-31 13:51:02,"0,002s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-10-31 13:51:02,2018-10-31 13:51:22,"20,284s",PASSED
setText,Chrome 70.0.3538.77,,2018-10-31 13:51:22,2018-10-31 13:51:22,"0,432s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:51:22,2018-10-31 13:51:23,"0,186s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-10-31 13:51:23,2018-10-31 13:51:24,"0,951s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:51:24,2018-10-31 13:51:24,"0,424s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 13:51:24,2018-10-31 13:51:24,"0,161s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:51:24,2018-10-31 13:51:24,"0,283s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-10-31 13:51:24,2018-10-31 13:51:25,"0,131s",PASSED
click,Chrome 70.0.3538.77,,2018-10-31 13:51:25,2018-10-31 13:51:25,"0,262s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 70.0.3538.77,,2018-10-31 13:51:25,2018-10-31 13:51:25,"0,021s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-10-31 13:51:25,2018-10-31 13:51:38,"13,524s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 70.0.3538.77,,2018-10-31 13:51:38,2018-10-31 13:51:38,"0,001s",PASSED
