Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 69.0.3497.100,,2018-10-26 11:50:54,2018-10-26 11:54:13,"3m - 19,175s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 69.0.3497.100,,2018-10-26 11:50:54,2018-10-26 11:52:20,"1m - 25,628s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-26 11:50:56,2018-10-26 11:50:59,"3,812s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-26 11:50:59,2018-10-26 11:51:00,"0,701s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-26 11:51:00,2018-10-26 11:51:00,"0,157s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-26 11:51:00,2018-10-26 11:51:00,"0,152s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-26 11:51:00,2018-10-26 11:51:01,"0,241s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-26 11:51:01,2018-10-26 11:51:01,"0,237s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:01,2018-10-26 11:51:01,"0,540s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-26 11:51:01,2018-10-26 11:51:03,"1,290s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:03,2018-10-26 11:51:03,"0,376s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-26 11:51:03,2018-10-26 11:51:03,"0,135s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:03,2018-10-26 11:51:04,"0,479s",PASSED
switchToWindowUrl,Chrome 69.0.3497.100,,2018-10-26 11:51:04,2018-10-26 11:51:04,"0,741s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-26 11:51:04,2018-10-26 11:51:05,"0,790s",PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-26 11:51:05,2018-10-26 11:51:06,"0,606s",PASSED
Statement - verifyIsPortalOpen(),Chrome 69.0.3497.100,,2018-10-26 11:51:06,2018-10-26 11:51:06,"0,002s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-26 11:51:06,2018-10-26 11:51:26,"20,093s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-26 11:51:26,2018-10-26 11:51:26,"0,308s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:26,2018-10-26 11:51:26,"0,155s",PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-26 11:51:26,2018-10-26 11:51:27,"0,473s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:27,2018-10-26 11:51:27,"0,333s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-26 11:51:27,2018-10-26 11:51:28,"0,791s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:28,2018-10-26 11:51:28,"0,229s",PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-26 11:51:28,2018-10-26 11:51:29,"0,616s",PASSED
click,Chrome 69.0.3497.100,,2018-10-26 11:51:29,2018-10-26 11:51:29,"0,179s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 69.0.3497.100,,2018-10-26 11:51:29,2018-10-26 11:51:29,"0,022s",PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-10-26 11:51:29,2018-10-26 11:51:40,"10,775s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 69.0.3497.100,,2018-10-26 11:51:40,2018-10-26 11:51:40,"0,001s",PASSED
