Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prestaciones,Chrome 70.0.3538.77,,2018-11-02 11:49:19,2018-11-02 11:56:00,"6m - 40,631s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Domicilio,Chrome 70.0.3538.77,,2018-11-02 11:49:20,2018-11-02 11:50:32,"1m - 12,262s",FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 11:49:22,2018-11-02 11:49:26,"4,476s",PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 11:49:26,2018-11-02 11:49:27,"0,573s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-02 11:49:27,2018-11-02 11:49:27,"0,178s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-02 11:49:27,2018-11-02 11:49:27,"0,163s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 11:49:27,2018-11-02 11:49:27,"0,279s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 11:49:27,2018-11-02 11:49:27,"0,255s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:27,2018-11-02 11:49:28,"0,738s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 11:49:28,2018-11-02 11:49:29,"1,001s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:29,2018-11-02 11:49:30,"0,565s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 11:49:30,2018-11-02 11:49:30,"0,229s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:30,2018-11-02 11:49:31,"0,802s",PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-11-02 11:49:31,2018-11-02 11:49:32,"1,342s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 11:49:32,2018-11-02 11:49:33,"0,722s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-02 11:49:33,2018-11-02 11:49:34,"0,874s",PASSED
Statement - verifyIsPortalOpen(),Chrome 70.0.3538.77,,2018-11-02 11:49:34,2018-11-02 11:49:34,"0,002s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-02 11:49:34,2018-11-02 11:49:41,"6,962s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 11:49:41,2018-11-02 11:49:41,"0,608s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:41,2018-11-02 11:49:42,"0,277s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 11:49:42,2018-11-02 11:49:42,"0,694s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:42,2018-11-02 11:49:43,"0,734s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 11:49:43,2018-11-02 11:49:44,"0,735s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:44,2018-11-02 11:49:44,"0,492s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 11:49:44,2018-11-02 11:49:44,"0,158s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:49:44,2018-11-02 11:49:45,"0,263s",PASSED
"Statement - abrirServicio(G_Servicio, com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver())",Chrome 70.0.3538.77,,2018-11-02 11:49:45,2018-11-02 11:49:45,"0,018s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-02 11:49:45,2018-11-02 11:49:58,"13,642s",PASSED
Statement - verifyIsGenesisCoberturaOpen(),Chrome 70.0.3538.77,,2018-11-02 11:49:58,2018-11-02 11:49:58,"0,001s",PASSED
Statement - Try,Chrome 70.0.3538.77,,2018-11-02 11:49:58,2018-11-02 11:50:00,"1,624s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 11:50:00,2018-11-02 11:50:00,"0,284s",PASSED
Statement - selectOptionAutocomplete(),Chrome 70.0.3538.77,,2018-11-02 11:50:00,2018-11-02 11:50:00,"0,001s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-02 11:50:00,2018-11-02 11:50:00,"0,147s",PASSED
delay,Chrome 70.0.3538.77,,2018-11-02 11:50:00,2018-11-02 11:50:30,"30,027s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:50:30,2018-11-02 11:50:31,"0,364s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-02 11:50:31,2018-11-02 11:50:31,"0,293s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:50:31,2018-11-02 11:50:31,"0,345s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 11:50:31,2018-11-02 11:50:32,"0,167s",PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-02 11:50:32,2018-11-02 11:50:32,"0,527s",FAILED
,,,,,,
Test Cases/Test Buscar Prestadores - Zona,Chrome 70.0.3538.77,,2018-11-02 11:50:32,2018-11-02 11:51:36,"1m - 3,502s",FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 11:50:33,2018-11-02 11:50:35,"2,496s",PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 11:50:35,2018-11-02 11:50:36,"0,536s",PASSED
maximizeWindow,Chrome 70.0.3538.77,,2018-11-02 11:50:36,2018-11-02 11:50:36,"0,182s",PASSED
waitForElementClickable,Chrome 70.0.3538.77,,2018-11-02 11:50:36,2018-11-02 11:50:36,"0,097s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 11:50:36,2018-11-02 11:50:37,"0,282s",PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 11:50:37,2018-11-02 11:50:37,"0,281s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:50:37,2018-11-02 11:50:38,"0,787s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 11:50:38,2018-11-02 11:50:39,"1,131s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:50:39,2018-11-02 11:50:39,"0,435s",PASSED
waitForElementPresent,Chrome 70.0.3538.77,,2018-11-02 11:50:39,2018-11-02 11:50:39,"0,148s",PASSED
click,Chrome 70.0.3538.77,,2018-11-02 11:50:39,2018-11-02 11:50:40,"0,631s",PASSED
switchToWindowUrl,Chrome 70.0.3538.77,,2018-11-02 11:50:40,2018-11-02 11:50:41,"0,707s",PASSED
waitForElementVisible,Chrome 70.0.3538.77,,2018-11-02 11:50:41,2018-11-02 11:50:41,"0,757s",PASSED
